source_text,translated_text
Options for Rating field can range from 3 to 10,Opcje dla pola Rating mogą wynosić od 3 do 10
Update Hooks Resolution Order,Zaktualizuj kolejność rozstrzygania haków
WhatsApp Notification Log,Dziennik powiadomień WhatsApp
WhatsApp Template requires document,Szablon WhatsApp wymaga dokumentu
"Yes, Proceed","Tak, kontynuuj"
Document Links Row #{0}: Invalid doctype or fieldname.,Łącza dokumentu Wiersz #{0}: Nieprawidłowy doctype lub nazwa pola.
Interview Type,Typ wywiadu
Merge Similar Account Heads,Scalanie podobnych nagłówków kont
Go to Notification Settings List,Przejdź do listy ustawień powiadomień
Total Outgoing Payment,Całkowita płatność wychodząca
Do not create new user if user with email does not exist in the system,"Nie twórz nowego użytkownika, jeśli użytkownik z adresem e-mail nie istnieje w systemie."
For Designation,Do wyznaczenia
Filled,Wypełniony
Total:,Łącznie:
No Applicable Component is present in last month salary slip,Nie dotyczy Składnik jest obecny na odcinku wynagrodzenia z ostatniego miesiąca
out of,z
Could not update progress,Nie można zaktualizować postępu
Employee Responsible,Odpowiedzialny pracownik
Disable Change Log Notification,Wyłączanie powiadomień dziennika zmian
Payment Reconciliations,Uzgodnienia płatności
Time Tracking,Śledzenie czasu
Not Helpful,Nie przydatne
Minor,Mniejszy
Missing Field,Brakujące pole
UI Tour,UI Tour
Send a request to delete your account,Wyślij prośbę o usunięcie konta
Add a row above the current row,Dodanie wiersza powyżej bieżącego wiersza
Start Workspace,Uruchom przestrzeń roboczą
View Blog Post,Zobacz wpis na blogu
Error in Client Script.,Błąd w skrypcie klienta.
Please remove the printer mapping in Printer Settings and try again.,Usuń mapowanie drukarki w Ustawieniach drukarki i spróbuj ponownie.
Only reports of type Report Builder can be deleted,Usuwane mogą być tylko raporty typu Report Builder
KRA Evaluation Method,Metoda oceny KRA
Toggle Theme,Przełączanie motywu
Delete {0} item permanently?,Usunąć {0} element na stałe?
Please setup default outgoing Email Account from Settings > Email Account,Skonfiguruj domyślne wychodzące konto e-mail w Ustawienia > Konto e-mail.
Add Feedback,Dodaj opinię
Fetching...,Pobieranie...
{0} is a not a valid zip file,{0} nie jest prawidłowym plikiem zip
Exit Confirmed,Wyjście potwierdzone
Failed to send notification email,Nie udało się wysłać powiadomienia e-mail
To allow more reports update limit in System Settings.,Aby zezwolić na więcej limitów aktualizacji raportów w Ustawieniach systemu.
Interview Details,Szczegóły wywiadu
Get Memberships,Uzyskaj członkostwo
DocType Layout Field,Pole układu DocType
Only Interviews with Cleared or Rejected status can be submitted.,Można przesyłać tylko rozmowy kwalifikacyjne ze statusem Cleared lub Rejected.
Get Backup Encryption Key,Pobierz klucz szyfrowania kopii zapasowej
Length of passed data array is greater than value of maximum allowed label points!,Długość przekazanej tablicy danych jest większa niż wartość maksymalnych dozwolonych punktów etykiety!
"IDs must contain only alphanumeric characters, not contain spaces, and should be unique.","Identyfikatory muszą zawierać tylko znaki alfanumeryczne, nie mogą zawierać spacji i powinny być unikalne."
AUTHENTICATION,AUTENTYFIKACJA
Google Authentication Error,Błąd uwierzytelniania Google
Full and Final Outstanding Statement,Pełne i ostateczne oświadczenie o zaległościach
NPO-DTN-.YYYY.-,NPO-DTN-.YYYY.-
"It’s an entry to update the stock balance of an item, in a warehouse, on a date and time you are going live on ERPNext.","Jest to wpis służący do aktualizacji stanu magazynowego artykułu w magazynie, w dniu i czasie, w którym zostanie on uruchomiony w ERPNext."
Revocation URI,URI odwołania
{} does not support automated log clearing.,{} nie obsługuje automatycznego czyszczenia dziennika.
Completed By User,Ukończone przez użytkownika
Auto Reconcile Payments,Automatyczne uzgadnianie płatności
OTP Secret Reset - {0},OTP Secret Reset - {0}
Allow Sending Usage Data for Improving Applications,Zezwalaj na wysyłanie danych o użytkowaniu w celu ulepszania aplikacji
Kanban View,Widok Kanban
Employee Cost Center,Centrum kosztów pracowniczych
Separation Activities,Działania związane z separacją
Create Leave Application,Tworzenie wniosku o urlop
Employee {0} already has an active Shift {1}: {2} that overlaps within this period.,"Pracownik {0} ma już aktywną zmianę {1}: {2}, która pokrywa się z tym okresem."
"Payment Entry {0} is linked against Order {1}, check if it should be pulled as advance in this invoice.","Wpis płatności {0} jest powiązany z zamówieniem {1}. Sprawdź, czy powinien zostać pobrany z góry na tej fakturze."
Routing,Przebieg trasy
Manufacture,Produkcja
"Mandatory fields required in table Items, Row 1"",Pola obowiązkowe wymagane w tabeli Produkty"," wiersz 1"""
Total Income Tax,Podatek dochodowy ogółem
Please select a company first.,Najpierw wybierz firmę.
Hey {}! This email is to remind you about the upcoming holidays.,Hej {}! Ten e-mail ma na celu przypomnienie o zbliżających się świętach.
Earned Leaves are allocated as per the configured frequency via scheduler.,Zdobyte urlopy są przydzielane zgodnie ze skonfigurowaną częstotliwością za pośrednictwem harmonogramu.
Employees without Goals: {0},Pracownicy bez celów: {0}
Show Saved,Pokaż zapisane
OAuth,OAuth
Series,Seria
Please select the LDAP Directory being used,Wybierz używany katalog LDAP
No of Employees,Liczba pracowników
Only Interviewer Are allowed to submit Interview Feedback,Tylko ankieter może przesłać opinię z wywiadu
Enable Scheduler,Włącz harmonogram
1 of 2,1 z 2
"For multiple addresses, enter the address on different line. e.g. test@test.com ⏎ test1@test.com","W przypadku wielu adresów, wprowadź adres w innym wierszu, np. test@test.com ⏎ test1@test.com"
"OAuth has been enabled but not authorised. Please use """"Authorise API Access"""" button to do the same.","OAuth został włączony, ale nie autoryzowany. Aby to zrobić, użyj przycisku """"Autoryzuj dostęp API""""."
Exit Questionnaire Web Form,Kwestionariusz wyjścia - formularz internetowy
Buying & Selling Settings,Zakupy & Sprzedaż ustawienia
Appraisal Overview,Przegląd ocen
Margin,Marża
Deduction from Salary,Potrącenie z wynagrodzenia
Role Allowed to Override Stop Action,Rola uprawniona do zastąpienia akcji zatrzymania
Donations,Darowizny
Custom HTML Block,Niestandardowy blok HTML
Function {0} is not whitelisted.,Funkcja {0} nie znajduje się na białej liście.
Create Holiday List,Utwórz listę świąt
{count} rows selected,{liczba} wybranych wierszy
No Requests found,Nie znaleziono żadnych żądań
Commercial Rounding,Zaokrąglanie komercyjne
Are you sure you want to proceed?,Czy na pewno chcesz kontynuować?
Review Chart of Accounts,Przegląd planu kont
Please enter your old password.,Wprowadź stare hasło.
You have to enable Two Factor Auth from System Settings.,Musisz włączyć uwierzytelnianie dwuskładnikowe w Ustawieniach systemowych.
Set only once,Ustawione tylko raz
Employee Referrals,Polecenia pracowników
Inavlid Values,Wartości Inavlid
Sales Invoice created successfully,Faktura sprzedaży utworzona pomyślnie
Invoice ID,Identyfikator faktury
{count} cell copied,{liczba} skopiowanych komórek
Member with Razorpay Subscription ID {0} not found,Członek z identyfikatorem subskrypcji Razorpay {0} nie został znaleziony
Item Price Settings,Ustawienia ceny przedmiotu
Choose a color,Wybierz kolor
OR,LUB
Consolidate Leave Types,Konsolidacja typów urlopów
Paid via Salary Slip,Płatne za pomocą odcinka wynagrodzenia
Branch: {0},Oddział: {0}
No employees found with selected filters and active salary structure,Nie znaleziono pracowników z wybranymi filtrami i aktywną strukturą wynagrodzeń
Brand Logo,Logo marki
User Role,Rola użytkownika
Do not have permission to access bucket {0}.,Nie masz uprawnień dostępu do zasobnika {0}.
Bulk Edit,Edycja zbiorcza
Subsidiary companies have already planned for {1} vacancies at a budget of {2}. Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies,Spółki zależne zaplanowały już {1} wakatów przy budżecie {2}. Plan zatrudnienia dla {0} powinien przewidywać więcej wakatów i budżet na {3} niż zaplanowano dla spółek zależnych.
Billed Hours (B),Naliczone godziny (B)
Enter the number of leaves you want to allocate for the period.,"Wprowadź liczbę urlopów, które chcesz przydzielić na dany okres."
Select Workspace,Wybierz obszar roboczy
UTILITY,UŻYTECZNOŚĆ
Confirm Deletion of Account,Potwierdzenie usunięcia konta
Login with username and password is not allowed.,Logowanie przy użyciu nazwy użytkownika i hasła jest niedozwolone.
Delivery Note has been submitted successfully,Potwierdzenie dostawy zostało przesłane pomyślnie
Membership Payment To,Płatność członkowska do
If you have recently restored the site you may need to copy the site config contaning original Encryption Key.,"Jeśli niedawno przywróciłeś witrynę, może być konieczne skopiowanie konfiguracji witryny zawierającej oryginalny klucz szyfrowania."
Allow Over Allocation,Zezwalaj na nadmierną alokację
Please select an Applicant,Wybierz wnioskodawcę
Let’s convert your first Sales Order against a Quotation,Przekonwertujmy pierwsze zlecenie sprzedaży na ofertę cenową
Added On,Dodano na
Read Only Depends On (JS),Tylko do odczytu Zależy od (JS)
Queue,Ogon
Appraisal Cycle,Cykl oceny
Repeat,Powtórz
{0} from {1} to {2},{0} od {1} do {2}
Total Amount can not be zero,Całkowita kwota nie może wynosić zero
Exit Interview Pending,Rozmowa kwalifikacyjna w toku
Method is required to create a number card,Do utworzenia karty numerycznej wymagana jest metoda
"Blogs, Website View Tracking, and more.","Blogi, śledzenie wyświetleń witryny i nie tylko."
Allow Continuous Material Consumption,Zezwalaj na ciągłe zużycie materiału
Dark Theme,Ciemny motyw
Is Virtual,Czy wirtualny
Allow Excess Material Transfer,Zezwalaj na transfer nadmiaru materiału
Dismiss,Pomiń
Report {0} deleted,Raport {0} usunięty
Select Page,Wybierz stronę
Page with title {0} already exist.,Strona o tytule {0} już istnieje.
Comm10E,Comm10E
Gross Pay (Company Currency),Wynagrodzenie brutto (waluta firmowa)
Workspaces,Przestrzenie robocze
Primary Mobile,Główny telefon komórkowy
No changes to sync,Brak zmian w synchronizacji
This site is running in developer mode. Any change made here will be updated in code.,Ta strona działa w trybie deweloperskim. Wszelkie zmiany wprowadzone tutaj zostaną zaktualizowane w kodzie.
Print Format Name,Nazwa formatu wydruku
HR & Payroll Settings,Ustawienia kadr i płac
Joining,Dołączenie
You can only plan for upto {0} vacancies and budget {1} for {2} as per staffing plan {3} for parent company {4}.,Możesz zaplanować tylko do {0} wakatów i budżet {1} dla {2} zgodnie z planem zatrudnienia {3} dla firmy macierzystej {4}.
Python,Python
Probation,Zwolnienie
{0} records are not automatically deleted.,Rekordy {0} nie są automatycznie usuwane.
Optional Leaves are holidays that Employees can choose to avail from a list of holidays published by the company.,"Urlopy fakultatywne to dni wolne od pracy, które pracownicy mogą wybrać z listy dni wolnych opublikowanej przez firmę."
Export as zip,Eksportuj jako zip
Prospect Owner,Właściciel prospektu
Set Up a Company,Załóż firmę
Log Index,Indeks dziennika
Sheet,Arkusz
Executive,Wykonawczy
Next Step Condition,Warunek następnego kroku
Your verification code is {0},Twój kod weryfikacyjny to {0}.
Log out,Wylogowanie
Redo last action,Ponów ostatnią akcję
User does not have permission to create the new {0},Użytkownik nie ma uprawnień do utworzenia nowego {0}
Cannot change docstatus from 1 (Submitted) to 0 (Draft),Nie można zmienić statusu dokumentu z 1 (przesłany) na 0 (wersja robocza).
"LDAP Search String must be enclosed in '()' and needs to contian the user placeholder {0}, eg sAMAccountName={0}","Ciąg wyszukiwania LDAP musi być zamknięty w """"()"""" i musi zawierać symbol zastępczy użytkownika {0}, np. sAMAccountName={0}"
Payment and Accounting,Płatności i księgowość
Choose an icon,Wybierz ikonę
Duplicate current row,Duplikat bieżącego wiersza
Existing Record,Istniejący rekord
Employee name,Imię i nazwisko pracownika
Page Title,Tytuł strony
Update Series Counter,Aktualizacja licznika serii
Configure columns for {0},Skonfiguruj kolumny dla {0}
Goal Score (%),Wynik docelowy (%)
Queue(s),Ogon(y)
Database Storage Usage By Tables,Wykorzystanie pamięci bazy danych przez tabele
Reset Changes,Resetowanie zmian
Experimental,Eksperymentalny
Job Application Route,Ścieżka aplikacji o pracę
Split Early Payment Discount Loss into Income and Tax Loss,Podział straty z tytułu dyskonta przedterminowej płatności na stratę dochodową i podatkową
User Document Types Limit Exceeded,Przekroczono limit typów dokumentów użytkownika
Credit Limit Settings,Ustawienia limitu kredytowego
Separation Begins On,Separacja zaczyna się od
Job Opening Associated,Związane z otwarciem pracy
Apply User Permission On,Zastosuj uprawnienie użytkownika do
New Lead (Last 1 Month),Nowi potencjalni klienci (w ciągu ostatniego miesiąca)
New Feedback,Nowe opinie
Account for accepting membership payments,Konto do przyjmowania płatności członkowskich
Loan Manager,Menadżer pożyczek
Is Table,Jest tablicą
Tab Break,Tab Break
This Donor Type will be set for the Donor created via Donation web form entry.,Ten typ darczyńcy zostanie ustawiony dla darczyńcy utworzonego za pomocą formularza internetowego darowizny.
Qualified,Zakwalifikowany
Interview Detail,Szczegóły wywiadu
Request Timeout,Limit czasu żądania
Effective To,Skuteczne do
Field Missing,Brakujące pole
"If checked, then the system will enable the provision to set the opening balance for earnings and deductions till date while creating a Salary Structure Assignment (if any)","Jeśli zaznaczone, system umożliwi ustawienie bilansu otwarcia dla zarobków i potrąceń do dnia utworzenia Przypisania struktury wynagrodzeń (jeśli istnieje)"
Upload the file as public. Whatsapp cannot access the private file.,Prześlij plik jako publiczny. Whatsapp nie może uzyskać dostępu do pliku prywatnego.
Minimum Year for Gratuity,Minimalny rok dla gratyfikacji
Submit Now,Prześlij teraz
Method Not Allowed,Niedozwolona metoda
Generate 3 preview of names generate by any valid series.,Wygeneruj 3 podglądy nazw wygenerowanych przez dowolną prawidłową serię.
Staffing Details,Szczegóły dotyczące personelu
Sidebar,Pasek boczny
Total Contribution Amount Against Orders:,Łączna kwota wkładu na poczet zamówień:
Quick List Filter,Szybki filtr listy
Is Hidden,Jest ukryty
No employees found for the selected criteria,Nie znaleziono pracowników spełniających wybrane kryteria
just now,Właśnie teraz
Document Share Key,Klucz udostępniania dokumentu
Module Profile,Profil modułu
Additional Information,Dodatkowe informacje
Goal should be aligned with the same KRA as its parent goal.,"Cel powinien być powiązany z tym samym KRA, co jego cel nadrzędny."
{0} is not a zip file,{0} nie jest plikiem zip
Failed to enable scheduler: {0},Nie udało się włączyć harmonogramu: {0}
DateTime,DataCzas
Type of Chart,Typ wykresu
Scripting,Skrypty
Key Result Area,Kluczowy obszar wyników
Top Left,U góry po lewej
Please submit the {0} before marking the cycle as Completed,Prześlij {0} przed oznaczeniem cyklu jako zakończony
Failed to submit some leave policy assignments:,Nie przesłano niektórych zadań związanych z polityką urlopową:
Put on Hold,Wstrzymane
Attendance date {0} can not be less than employee {1}'s joining date: {2},Data obecności {0} nie może być krótsza niż data dołączenia pracownika {1}: {2}
Appraisal Template Missing,Brakujący szablon oceny
Invalid Action,Nieprawidłowe działanie
App Access Key,Klucz dostępu do aplikacji
Total Hours (T),Łączna liczba godzin (T)
DocType not supported by Log Settings.,DocType nie jest obsługiwany przez ustawienia dziennika.
Enable Common Party Accounting,Włączenie rozliczania stron wspólnych
Journals,Czasopisma
Gratuity Rule,Zasada Gratuity
From Opportunity,Od szansy
Job Requisition {0} has been associated with Job Opening {1},Zapotrzebowanie na pracę {0} zostało powiązane z otwarciem pracy {1}.
Scheduled Jobs Logs,Dzienniki zaplanowanych zadań
Document Types (Select Permissions Only),Typy dokumentów (tylko wybrane uprawnienia)
{0} created this {1} ago,{1} Utworzony przez: {0}
Always use this name as sender name,Zawsze używaj tej nazwy jako nazwy nadawcy
Add page break,Dodaj podział strony
Obtained Average Rating,Uzyskana średnia ocena
Browse by category,Przeglądaj według kategorii
Row {0}: From (Year) can not be greater than To (Year),Wiersz {0}: Wartość From (Year) nie może być większa niż wartość To (Year).
User does not exist.,Użytkownik nie istnieje.
Backup Encryption Key,Klucz szyfrowania kopii zapasowej
Next Execution,Następne wykonanie
Tax Exemption 80G Certificate,Certyfikat zwolnienia z podatku 80G
Enable Provisional Accounting For Non Stock Items,"Włącz księgowanie tymczasowe dla towarów, których nie ma w magazynie"
Maximum Consecutive Leaves Allowed,Maksymalna dozwolona liczba kolejnych urlopów
Please Authorize OAuth for Email Account {},Autoryzuj OAuth dla konta e-mail {}.
Edit Footer,Edytuj stopkę
Document Links Row #{0}: Table Fieldname is mandatory for internal links,Łącza do dokumentów Wiersz #{0}: Nazwa pola tabeli jest obowiązkowa dla linków wewnętrznych
Is Template,Jest szablonem
Navigation Settings,Ustawienia nawigacji
Quick Lists,Szybkie listy
Employee Exits,Wyjścia pracowników
Assign a user,Przypisywanie użytkownika
Customizations Discarded,Odrzucone dostosowania
{0} removed their assignment.,{0} usunął ich przypisanie.
Updating counter may lead to document name conflicts if not done properly,"Aktualizacja licznika może prowadzić do konfliktów nazw dokumentów, jeśli nie zostanie wykonana prawidłowo."
Start a new discussion,Rozpocznij nową dyskusję
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted","Zgodnie z twoją prośbą, twoje konto i dane na {0} powiązane z e-mailem {1} zostały trwale usunięte"
Quick Access,Szybki dostęp
You do not have Read or Select Permissions for {},Nie masz uprawnień do odczytu lub wyboru dla {}.
Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component amount and previous claimed amount,Maksymalne świadczenie pracownika {0} przekracza {1} o sumę {2} proporcjonalnej kwoty składnika wniosku o świadczenie i poprzedniej wnioskowanej kwoty.
failed,nieudany
Looks like you haven’t added any third party apps.,"Wygląda na to, że nie dodano żadnych aplikacji innych firm."
Load more,Załaduj więcej
{0} gained {1} points,{0} zdobył {1} punktów
Gantt View,Widok Gantta
ID (name),ID (nazwa)
Change Image,Zmień obraz
DocType required,Wymagany DocType
Bulk Actions,Działania zbiorcze
Diff,Różnica
Email address of member {0} is missing,Brakuje adresu e-mail członka {0}
Action Complete,Działanie zakończone
Exit Interview {0} already exists for Employee: {1},Wywiad wyjściowy {0} już istnieje dla pracownika: {1}
A template already exists for field {0} of {1},Szablon już istnieje dla pola {0} z {1}
Leave allocation {0} is linked with the Leave Application {1},Przydział urlopu {0} jest powiązany z wnioskiem o urlop {1}.
Go make some noise,Zrób trochę hałasu
Title,Tytuł
Sample Values,Przykładowe wartości
Failed to send the Interview Reschedule notification. Please configure your email account.,Nie udało się wysłać powiadomienia o zmianie terminu rozmowy kwalifikacyjnej. Skonfiguruj swoje konto e-mail.
Cost Centers for Budgeting and Analysis,Centra kosztów na potrzeby budżetowania i analizy
Goal Score,Wynik bramkowy
Search fields,Pola wyszukiwania
Today is {0}'s birthday 🎉,Dziś są urodziny {0} 🎉
Tax Deducted Till Date,Podatek odliczony do dnia dzisiejszego
Rate of Stock UOM,Stawka magazynowa UOM
Payment Days Dependency,Dni płatności Zależność
"File """"{0}"""" was skipped because of invalid file type","Plik """"{0}"""" został pominięty z powodu nieprawidłowego typu pliku."
Set Relieving Date for Employee: {0},Ustaw datę zwolnienia pracownika: {0}
leave blank automatically set after saving chapter.,pozostaw puste automatycznie ustawione po zapisaniu rozdziału.
Add a Filter,Dodaj filtr
Customize Form - Print Format Field Template,Dostosuj formularz - szablon pola formatu wydruku
Set,Ustaw
{0} changed values for {1} {2},{0} zmieniono wartości dla {1} {2}
Is Group Warehouse,Jest grupą magazynów
Rozmiar,Size
Move cursor to next column,Przesunięcie kursora do następnej kolumny
Quality Inspection Settings,Ustawienia kontroli jakości
Token Type,Typ tokena
Remove page break,Usuń podział strony
Standard Reports cannot be deleted,Raportów standardowych nie można usunąć
"Products, Sales, Analysis, and more.","Produkty, sprzedaż, analizy i więcj."
COLOR PICKER,SELEKTOR KOLORÓW
You viewed this {0},Oglądałeś to {0}
"The user that will be used to create Donations, Memberships, Invoices, and Payment Entries. This user should have the relevant permissions.","Użytkownik, który będzie używany do tworzenia darowizn, członkostw, faktur i wpisów płatności. Ten użytkownik powinien mieć odpowiednie uprawnienia."
Edit your response,Edytuj swoją odpowiedź
Set all public,Ustaw wszystko publiczne
Overlap,Nakładanie się
Statistics,Statystyki
Tax Settings,Ustawienia podatkowe
Amount,Wartość
Define Opening Balance for Earning and Deductions,Definiowanie bilansu otwarcia dla zarobków i odliczeń
All the mandatory tasks for employee creation are not completed yet.,Wszystkie obowiązkowe zadania związane z tworzeniem pracowników nie zostały jeszcze ukończone.
Synced Fields,Zsynchronizowane pola
Let's Set Up Some Masters,Ustawmy dane podstawowe
Clear the email message and add the template,Wyczyść wiadomość e-mail i dodaj szablon
Not allowed to create custom Virtual DocType.,Niedozwolone jest tworzenie niestandardowego typu Virtual DocType.
Like on {0}: {1},Jak na {0}: {1}
Failed to setup defaults for country {0}. Please contact support.,Nie udało się skonfigurować ustawień domyślnych dla kraju {0}. Skontaktuj się z pomocą techniczną.
Po zapoznaniu się z tą stroną można kontynuować wdrażanie.,Po zapoznaniu się z tą stroną można kontynuować wdrażanie.
Sr,No.
My Settings,Moje ustawienia
Website Search Field must be a valid fieldname,Pole wyszukiwania w witrynie musi być prawidłową nazwą pola
IMAP Details,Szczegóły IMAP
{0} has been submitted successfully,{0} zostało przesłane pomyślnie
Row No {0}: Amount cannot be greater than the Outstanding Amount against Expense Claim {1}. Outstanding Amount is {2},Wiersz nr {0}: Kwota nie może być wyższa niż kwota pozostająca do spłaty z tytułu roszczenia dotyczącego wydatków {1}. Kwota pozostała do spłaty wynosi {2}
Atleast one field is required in Web Form Fields Table,Co najmniej jedno pole jest wymagane w tabeli pól formularza internetowego
Below is the list of upcoming holidays for you:,Poniżej znajduje się lista nadchodzących świąt:
No Notes,Brak notatek
Create Blogger,Utwórz Bloggera
Automatically create an invoice when payment is authorized from a web form entry,Automatyczne tworzenie faktury po autoryzacji płatności z poziomu formularza internetowego.
Need Workspace Manager role to hide/unhide public workspaces,Potrzebna rola Menedżera przestrzeni roboczej do ukrywania/odkrywania publicznych przestrzeni roboczych
Failed to aquire lock: {},Nie udało się uzyskać blokady: {}
Splash Image,Splash Image
Is Return,Jest zwrotem
Hidden Fields,Ukryte pola
Inbox View,Widok skrzynki odbiorczej
Investigation Details,Szczegóły dochodzenia
starting the setup...,rozpoczęcie konfiguracji...
Cannot Fetch Values,Nie można pobrać wartości
Reset sorting,Zresetuj sortowanie
Job Name,Nazwa stanowiska
Przejdź Authorization,Przejdź autoryzację
Schedule sending,Harmonogram wysyłania
Banker's Rounding (legacy),Zaokrąglanie bankowe (dziedzictwo)
Zamówione produkty:,Bestellte Produkte:
Select Interview first,Wybierz najpierw opcję Wywiad
There is no Salary Structure assigned to {0}. First assign a Salary Stucture.,Do {0} nie jest przypisana struktura wynagrodzeń. Najpierw przypisz strukturę wynagrodzeń.
Switching Camera,Przełączanie kamery
Confirm Password,Potwierdź hasło
Send,Wyślij
Type Distribution,Typ Dystrybucja
Worker Name,Imię i nazwisko pracownika
Top Center,Top Center
Rules,Zasady
LDAP settings incorrect. validation response was: {0},Ustawienia LDAP są nieprawidłowe. odpowiedź walidacji była następująca: {0}
Refresh List,Lista odświeżania
Income Tax Computation,Obliczanie podatku dochodowego
Get Job Requisitions,Pobieranie ofert pracy
commented,skomentował
Please check Enable Razorpay for Memberships in {0} to setup subscription,"Zaznacz opcję Włącz Razorpay dla członkostwa w {0}, aby skonfigurować subskrypcję."
Ended At,Zakończono na
Select an Image,Wybierz obraz
Open in a new tab,Otwórz w nowej karcie
Issue a debit note with 0 qty against an existing Sales Invoice,Wystawienie noty obciążeniowej z ilością 0 w odniesieniu do istniejącej faktury sprzedaży
View Switcher,View Switcher
edited,edytowane
Total Resignations,Rezygnacje ogółem
Updated To A New Version \u{1F389},Zaktualizowano do nowej wersji \u{1F389}
"Link that is the website home page. Standard Links (home, login, products, blog, about, contact)","Link będący stroną główną witryny. Standardowe linki (strona główna, logowanie, produkty, blog, informacje, kontakt)"
Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.,"Przeciągnij kolumny, aby ustawić kolejność. Szerokość kolumny jest ustawiana w procentach. Całkowita szerokość nie powinna być większa niż 100. Kolumny zaznaczone na czerwono zostaną usunięte."
Queued By,W kolejce
Outgoing (SMTP) Settings,Ustawienia wychodzące (SMTP)
Invalid Payroll Payable Account. The account currency must be {0} or {1},Nieprawidłowe konto listy płac. Waluta konta musi mieć wartość {0} lub {1}.
Assignment Rule is not allowed on {0} document type,Reguła przypisania nie jest dozwolona dla typu dokumentu {0}
Total allocated leaves are more than maximum allocation allowed for {0} leave type for employee {1} in the period,Łączna liczba przydzielonych urlopów przekracza maksymalny dozwolony przydział dla {0} typu urlopu dla pracownika {1} w danym okresie.
Set the frequency for holiday reminders,Ustaw częstotliwość przypomnień o świętach
Margin Right,Prawy margines
{0} records are retained for 30 days. You can change the retention policy from {1},Rekordy {0} są przechowywane przez 30 dni. Można zmienić zasady przechowywania z {1}
Field name,Nazwa pola
Passwords do not match,Hasła nie są zgodne
Updated status from {0} to {1} for date {2} in the attendance record {3},Zaktualizowano status z {0} do {1} dla daty {2} w rekordzie obecności {3}.
CMD,CMD
Newsletter must be published to send webview link in email,"Newsletter musi być opublikowany, aby wysłać link do widoku strony w wiadomości e-mail"
Outgoing Bills (Sales Invoice),Rachunki wychodzące (faktura sprzedaży)
Employee Promotion cannot be submitted before Promotion Date,Awans pracownika nie może zostać zgłoszony przed datą awansu
Error creating donation entry for {0},Błąd podczas tworzenia wpisu darowizny dla {0}
Only Employee Grievance with status {0} or {1} can be submitted,Można złożyć tylko skargę pracownika o statusie {0} lub {1}.
Onboarding Status,Status wdrożenia
"From here, you can enable encashment for the balance leaves.",W tym miejscu można włączyć rozliczanie pozostałych urlopów.
LDAP search path for Users,Ścieżka wyszukiwania LDAP dla użytkowników
Fetching Employees,Pobieranie pracowników
Try the new Print Format Builder,Wypróbuj nowy kreator formatu wydruku
Is Calendar and Gantt,Jest kalendarz i Gantt
From Date must come before To Date,Data początkowa musi być wcześniejsza niż data końcowa
Frappe Light,Lekkie Frappe
No changes made because old and new name are the same.,"Nie wprowadzono żadnych zmian, ponieważ stara i nowa nazwa są takie same."
Interview Feedback,Informacje zwrotne dotyczące wywiadu
Encryption key is invalid! Please check site_config.json,Klucz szyfrowania jest nieprawidłowy! Sprawdź site_config.json
First Day,Pierwszy dzień
Rating Criteria,Kryteria oceny
Create a Customer,Utwórz klienta
Date of Donation,Data darowizny
Forecasting,Prognozowanie
Communication Logs,Dzienniki komunikacji
Prepared report render failed,Przygotowane renderowanie raportu nie powiodło się
Is Cash or Non Trade Discount,Czy gotówka lub rabat niehandlowy
Clear,Wyczyść
Current Job,Obecna praca
Document Links Row #{0}: Parent DocType is mandatory for internal links,Łącza do dokumentów Wiersz #{0}: Nadrzędny DocType jest obowiązkowy dla linków wewnętrznych
"To use Google Indexing, enable","Aby korzystać z indeksowania Google, włącz"
Total Earnings,Całkowity zarobek
Employee {0} already has an Attendance Request {1} that overlaps with this period,"Pracownik {0} ma już Wniosek o Obecność {1}, który pokrywa się z tym okresem."
"Salary Slips already exist for employees {}, and will not be processed by this payroll.",Odcinki wynagrodzenia już istnieją dla pracowników {} i nie będą przetwarzane przez tę listę płac.
You need to set one IMAP folder for {0},Musisz ustawić jeden folder IMAP dla {0}.
Final Decision,Ostateczna decyzja
Employee was marked Absent for not meeting the working hours threshold.,"Pracownik został oznaczony jako nieobecny, ponieważ nie osiągnął progu godzin pracy."
Templates,Szablony
Overlapping Attendance Request,Nakładający się wniosek o obecność
"DocTypes can not be modified, please use {0} instead","DocTypes nie mogą być modyfikowane, zamiast tego należy użyć {0}"
Module Profile Name,Nazwa profilu modułu
SWATCHES,SWATCHES
Redirect URI,Przekierowanie URI
80G With Effect From,80G Ze skutkiem od
You created this {0},Stworzyłeś to {0}
Automate Invoicing for Web Forms,Automatyzacja fakturowania dla formularzy internetowych
Duplicate,Powiel
Activate,Aktywuj
Saving...,Zapisywanie...
You need {0} permission to fetch values from {1} {2},Potrzebujesz {0} uprawnień do pobierania wartości z {1} {2}
"Site is running in read only mode, this action can not be performed right now. Please try again later.","Witryna działa w trybie tylko do odczytu, ta czynność nie może być teraz wykonana. Spróbuj ponownie później."
Pending,W toku
Select Time Zone,Wybierz strefę czasową
Column Width,Szerokość kolumny
Please set {0}.,Ustaw {0}.
